"image","caption","negative_caption","negative_image","type","subtype","text_score_i0","text_score_i1","image_score_c0","image_score_c1","text_score","image_score","group_score"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7F832CC64550>","A man throwing a ball while smiling and on a field.","A man throwing a ball while a child is smiling on a field.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC649A0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7F832CC64940>","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC648B0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x436 at 0x7F832CC64820>","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC64BB0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CC64A60>","A black plush toy sitting on the lid of a toilet.","A black plush toy and a toothbrush are sitting on the lid of a toilet.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC64AF0>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC64B80>","A commercial airplane sits on a runway at an airport.","A commercial airplane and a helicopter sit on a runway at an airport.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC64C10>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CC64CA0>","A tall man is on snow skis on a pathway.","A tall man and a child are on snow skis on a pathway.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC64D30>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC64C40>","A man with beard holding up a plate of food.","A man with a beard and a child are holding up a plate of food.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC64CD0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x343 at 0x7F832CC640A0>","Two toy vehicles and a police box are set up in a street scene.","Two toy vehicles, a police box, and a fire hydrant are set up in a street scene.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00190>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC001C0>","A man on skis is going down a slope.","A man and a child on skis are going down a slope.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00430>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7F832CC00310>","A young girl with a video game controller in her hand.","A young girl and a boy with video game controllers in their hands.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC001F0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC002B0>","Two young women are washing two motorcycles with hoses..","A toddler and two young women are washing two motorcycles with hoses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC009D0>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7F832CC00940>","A vase full of flowers is sitting on display.","A vase full of flowers and candles is sitting on display.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00B50>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC00BE0>","The basketball game is played by teams in white or blue uniforms.","A volleyball game is played by teams in white or blue uniforms.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00D90>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=346x500 at 0x7F832CC00D00>","A skateboarder is turning his board at the top of a ramp.","A dj and a skateboarder are turning their board at the top of a ramp.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00C70>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=270x360 at 0x7F832CC00E80>","A display case in a bakery filled with donuts.","A display case in a bakery filled with cupcakes and donuts.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00F70>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7F832CC00E20>","A person jumps in the air and catches a frisbee at the beach.","A person jumps in the air and catches a kite and a frisbee at the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00D30>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC000A0>","The people are practicing riding their surfboards on the beach.","The people are practicing riding their surfboards and sitting under umbrellas on the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00DC0>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC00FD0>","A man standing in front of some clysdale horses in front of some houses.","A man standing in front of some clysdale horses and some tulips in front of some houses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC00220>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=424x640 at 0x7F832CC19190>","Persons of different origin standing in a hall.","Persons of different origin standing in a hall with paintings on the walls.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC194F0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC19460>","Several cows and a horse are eating hay.","Several cows, a horse, and a rabbit are eating hay.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC193D0>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7F832CC19310>","People playing the wii together in  a room.","People playing board games together in a room.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC195E0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC196A0>","Two brown bears growling at each other while laying on a log.","Two brown bears growling at each other while standing near a waterfall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19730>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7F832CC197C0>","A cow is standing on a street corner.","A cow and a dog are standing on a street corner.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19850>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F832CC198E0>","A person walking while carrying a rainbow umbrella.","A person on a bicycle is carrying a rainbow umbrella while riding.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19970>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CC19A00>","A partial sliced open piece of bread with some hotdogs in the middle.","A partial sliced open piece of bread with some cheese and hotdogs in the middle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19A30>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7F832CC199A0>","This is a plate holding a double decker sandwich.","This is a plate holding a double decker sandwich and a pickle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19910>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x316 at 0x7F832CC19C40>","A man holding a surfboard walking on a beach next to the ocean.","A man and a child holding surfboards are walking on a beach next to the ocean.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19CD0>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F832CC19D60>","Two jets are flying against a bright blue sky.","Two jets are flying against a backdrop of fluffy white clouds.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19E20>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x458 at 0x7F832CC19EB0>","Bear cubs play among the fallen tree limbs.","Bear cubs play among the fallen tree limbs near a pond.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19EE0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x640 at 0x7F832CC19070>","There are two slices of pizza on a paper plate.","There are two slices of pizza on a paper plate and a glass of soda.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19F10>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=509x640 at 0x7F832CC19FA0>","Two women are playing a wii game at a banquet hall.","Two women and a child are playing a wii game at a banquet hall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CC19160>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F832CC191F0>","A white car and a white bus parked parallel from one another.","A white car and a black truck parked parallel from one another, with a white bus nearby.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE040>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7F832CBCE2E0>","A woman standing on a sidewalk while using a cell phone.","A woman standing on a sidewalk while using an umbrella and a cell phone.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE2B0>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x423 at 0x7F832CBCE340>","A plaster external wall with multiple old paper images attached.","A plaster external wall with multiple old paper images and paintings attached.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE3D0>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F832CBCE460>","A man holding a tennis racquet on a tennis court.","A man and a woman holding tennis racquets on a tennis court.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE4F0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CBCE730>","A young kid is holding a box of pizza.","A young kid and their grandparent are holding a box of pizza.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE7C0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CBCE880>","A man eats a hot dog while looking at the camera.","A man and a child eat a hot dog while looking at the camera.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE820>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=418x640 at 0x7F832CBCE850>","A man is on the court holding his racket.","A man and a woman are on the court holding their rackets.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE8B0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CBCE940>","A slice of pizza with a swirl of sauce on top.","A slice of pizza with olives and a swirl of sauce on top.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE9D0>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x639 at 0x7F832CBCEA60>","A woman leans forward while swinging a tennis racket.","A man and a woman lean forward while swinging tennis rackets.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCEAF0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=478x640 at 0x7F832CBCEEE0>","A table with food and a glass of red wine.","A table with food, candles, and a glass of red wine.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCECA0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F832CBCED30>","A man and a women standing next to each other.","A man, woman, and child are standing next to each other.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCEDC0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CBCEF70>","A small bathroom has a sink and a storage rack over the toilet.","A small bathroom has a sink, a storage rack over the toilet, and a shower curtain.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCEE50>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CBCE100>","A infant holding a baby toothbrush in his hand looking at it.","An infant holding a baby toothbrush in his hand and looking at himself in the mirror.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCEFD0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=612x612 at 0x7F832CBCE250>","An airplane flying in the sky over some trees.","An airplane flying in the sky over some trees and a lake.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CBCE160>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x555 at 0x7F832CBCE0A0>","A baby deer and a large deer are standing in the woods.","A baby deer and a fox and a large deer are standing in the woods.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB873D0>","add","obj","True","False","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7F832CB87460>","A very simple living area with a chair, sofa and tv.","A very simple living area with a chair and lamp on one side, and a sofa and tv on the other.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB872E0>","add","obj","False","True","False","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CB871F0>","A red bench on a slanted floor has the coca-cola symbol on it.","A red bench on a slanted floor has a coca-cola symbol and a flower vase on it.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB87580>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7F832CB874C0>","Three different donuts one is pink one is brown and one has white sprinkles.","Three different donuts and cupcakes are on the table, one donut is pink, one is brown, and one has white sprinkles.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB87730>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x322 at 0x7F832CB87790>","A street scene with a car passing by.","A street scene with a bicycle and a car passing by.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB87880>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F832CB87910>","Several people can be seen at the crest of the mountain.","Several people can be seen at the crest of the mountain overlooking a beautiful waterfall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB877F0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F832CB87850>","A giraffe standing in tall grass with trees.","A giraffe and a zookeeper are standing in tall grass with trees.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB87940>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x359 at 0x7F832CB879D0>","A kitchen with a sink, dishwasher and boxes on the counter.","A kitchen with wine glasses, a sink, dishwasher, and boxes on the counter.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F832CB87A60>","add","obj","False","False","True","False","False","False","False"
