"image","caption","negative_caption","negative_image","type","subtype","text_score_i0","text_score_i1","image_score_c0","image_score_c1","text_score","image_score","group_score"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7F2A3712A9D0>","A man throwing a ball while smiling and on a field.","A man throwing a ball while a child is smiling on a field.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712ABB0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7F2A3712A9A0>","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712AB20>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x436 at 0x7F2A3712A730>","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712A880>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F2A3712A8E0>","A black plush toy sitting on the lid of a toilet.","A black plush toy and a toothbrush are sitting on the lid of a toilet.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712A2E0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F2A3712A250>","A commercial airplane sits on a runway at an airport.","A commercial airplane and a helicopter sit on a runway at an airport.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712A0D0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F2A3712A070>","A tall man is on snow skis on a pathway.","A tall man and a child are on snow skis on a pathway.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712A100>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F2A3712AE20>","A man with beard holding up a plate of food.","A man with a beard and a child are holding up a plate of food.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712AFD0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x343 at 0x7F2A3712A4C0>","Two toy vehicles and a police box are set up in a street scene.","Two toy vehicles, a police box, and a fire hydrant are set up in a street scene.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3712AB80>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F2A3C2F1E20>","A man on skis is going down a slope.","A man and a child on skis are going down a slope.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3C2F1BE0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7F2A3C2F1C40>","A young girl with a video game controller in her hand.","A young girl and a boy with video game controllers in their hands.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F2A3C2F1730>","add","obj","True","True","True","True","True","True","True"
