"filename","caption","negative_caption","type","subtype","index","hn_img_0","hn_img_1","hn_img_2","hn_img_3"
"000000219578.jpg","A cat and dog napping together on the couch.","A cat and a dog napping together under a blanket on the couch.","add","obj","0","0_000000219578_0.jpg","0_000000219578_1.jpg","0_000000219578_2.jpg","0_000000219578_3.jpg"
"000000301867.jpg","Three girls walking down the sidewalk under a sun umbrella.","Two boys and three girls are walking down the sidewalk under a sun umbrella.","add","obj","1","1_000000301867_0.jpg","1_000000301867_1.jpg","1_000000301867_2.jpg","1_000000301867_3.jpg"
"000000104612.jpg","A plate is filled with broccoli and noodles.","A plate is filled with broccoli, noodles, and carrots.","add","obj","2","2_000000104612_0.jpg","2_000000104612_1.jpg","2_000000104612_2.jpg","2_000000104612_3.jpg"
"000000515579.jpg","A man throwing a ball while smiling and on a field.","A man throwing a ball while a child is smiling on a field.","add","obj","3","3_000000515579_0.jpg","3_000000515579_1.jpg","3_000000515579_2.jpg","3_000000515579_3.jpg"
"000000347693.jpg","An assortment of rags hang on a metal rack.","An assortment of rags and tools hang on a metal rack.","add","obj","4","4_000000347693_0.jpg","4_000000347693_1.jpg","4_000000347693_2.jpg","4_000000347693_3.jpg"
"000000029393.jpg","A brown dog standing on a wooden bench near a lemon tree.","A brown dog and a bird are standing on a wooden bench near a lemon tree.","add","obj","5","5_000000029393_0.jpg","5_000000029393_1.jpg","5_000000029393_2.jpg","5_000000029393_3.jpg"
"000000113403.jpg","Three stuffed animals lay in a bed cuddled together.","Three stuffed animals lay in a bed cuddled together next to a lamp.","add","obj","6","6_000000113403_0.jpg","6_000000113403_1.jpg","6_000000113403_2.jpg","6_000000113403_3.jpg"
"000000375015.jpg","A baby brown bear standing on top of a rock.","A baby brown bear standing on top of a rock near a waterfall.","add","obj","7","7_000000375015_0.jpg","7_000000375015_1.jpg","7_000000375015_2.jpg","7_000000375015_3.jpg"
"000000031269.jpg","Two zebras grazing while another horse standing and staring.","Two zebras grazing while a llama and another horse standing and staring.","add","obj","8","8_000000031269_0.jpg","8_000000031269_1.jpg","8_000000031269_2.jpg","8_000000031269_3.jpg"
"000000099242.jpg","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","add","obj","9","9_000000099242_0.jpg","9_000000099242_1.jpg","9_000000099242_2.jpg","9_000000099242_3.jpg"
"000000004495.jpg","A living room with a couch and chair.","A living room with a couch and a bookshelf and a chair.","add","obj","10","10_000000004495_0.jpg","10_000000004495_1.jpg","10_000000004495_2.jpg","10_000000004495_3.jpg"
"000000326082.jpg","THERE IS A LIVING ROOM WITH A TABLE AND TV","There is a living room with a table, bookshelf, and TV.","add","obj","11","11_000000326082_0.jpg","11_000000326082_1.jpg","11_000000326082_2.jpg","11_000000326082_3.jpg"
"000000239537.jpg","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","add","obj","12","12_000000239537_0.jpg","12_000000239537_1.jpg","12_000000239537_2.jpg","12_000000239537_3.jpg"
