"filename","caption","negative_caption","type","subtype","correct"
"000000219578.jpg","A cat and dog napping together on the couch.","A cat and a dog napping together under a blanket on the couch.","add","obj","1"
"000000301867.jpg","Three girls walking down the sidewalk under a sun umbrella.","Two boys and three girls are walking down the sidewalk under a sun umbrella.","add","obj","1"
"000000104612.jpg","A plate is filled with broccoli and noodles.","A plate is filled with broccoli, noodles, and carrots.","add","obj","1"
"000000515579.jpg","A man throwing a ball while smiling and on a field. ","A man throwing a ball while a child is smiling on a field.","add","obj","1"
"000000347693.jpg","An assortment of rags hang on a metal rack.","An assortment of rags and tools hang on a metal rack.","add","obj","1"
"000000029393.jpg","A brown dog standing on a wooden bench near a lemon tree.","A brown dog and a bird are standing on a wooden bench near a lemon tree.","add","obj","1"
"000000113403.jpg","Three stuffed animals lay in a bed cuddled together.","Three stuffed animals lay in a bed cuddled together next to a lamp.","add","obj","1"
"000000375015.jpg","A baby brown bear standing on top of a rock.","A baby brown bear standing on top of a rock near a waterfall.","add","obj","1"
"000000031269.jpg","Two zebras grazing while another horse standing and staring. ","Two zebras grazing while a llama and another horse standing and staring.","add","obj","1"
"000000099242.jpg","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","add","obj","1"
"000000004495.jpg","A living room with a couch and chair.","A living room with a couch and a bookshelf and a chair.","add","obj","1"
"000000326082.jpg","THERE IS A LIVING ROOM WITH A TABLE AND TV ","There is a living room with a table, bookshelf, and TV.","add","obj","1"
"000000239537.jpg","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","add","obj","1"
"000000243204.jpg","A man is cooking while wearing a jacket and scarf","A man is cooking while wearing a jacket, scarf, and apron.","add","obj","1"
"000000376442.jpg","A black plush toy sitting on the lid of a toilet.","A black plush toy and a toothbrush are sitting on the lid of a toilet.","add","obj","1"
"000000384350.jpg","A commercial airplane sits on a runway at an airport. ","A commercial airplane and a helicopter sit on a runway at an airport.","add","obj","1"
"000000154947.jpg","A sheep standing in a dry grass field.","A sheep and a cow standing in a dry grass field.","add","obj","0"
"000000291490.jpg","A kitten on a bad with its arm stretched out toward the camera","A kitten with a hat on its head is on a bed with its arm stretched out toward the camera.","add","obj","0"
"000000491366.jpg","Two men using nintendo wii remotes to play a game ","A child and two men are using nintendo wii remotes to play a game.","add","obj","1"
"000000057238.jpg","A white refrigerator freezer sitting inside of a kitchen.","A white refrigerator freezer and a dishwasher are sitting inside of a kitchen.","add","obj","1"
"000000251065.jpg","The small bathroom has a toilet with a black seat.","The small bathroom has a toilet with a black seat and a towel rack.","add","obj","1"
"000000099054.jpg","An airplane is at an airport with yellow hoses by it.","An airplane and a helicopter are at an airport with yellow hoses by them.","add","obj","1"
"000000461405.jpg","A herd of sheep walking across a lush green field.","A flock of birds and a herd of sheep are walking across a lush green field.","add","obj","1"
"000000483667.jpg","A very sharp dressed man with a black top hat.","A very sharp dressed man with a black top hat and a poodle.","add","obj","1"
"000000314182.jpg","An assortment of crackers, dip and veggies sitting on a white counter.","An assortment of crackers, dip, veggies, and juice are sitting on a white counter.","add","obj","1"
"000000337498.jpg","A large slice of pizza with cheese and marinara sauce on a plate. ","A large slice of pizza with jalapenos, cheese, and marinara sauce on a plate.","add","obj","1"
"000000067180.jpg","A woman sitting on a wooden bench on a wall.","A woman and a bird are sitting on a wooden bench on a wall.","add","obj","1"
"000000519764.jpg","a cat sitting in an office chair. ","A cat sitting in an office chair with a lamp next to it.","add","obj","1"
"000000205776.jpg","A big brown bear asleep in a hammock.","A big brown bear asleep in a hammock with a pillow.","add","obj","1"
"000000560266.jpg","Two brown bears swimming together in the water.","Two brown bears swimming together in the water next to a canoe.","add","obj","1"
"000000481390.jpg","A group of young men playing a game of basketball.","A group of young men and kids are playing a game of basketball.","add","obj","1"
"000000183127.jpg","A man on a surfboard surfing a large wave.","A man on a surfboard surfing a large wave with a seagull flying overhead.","add","obj","1"
"000000432898.jpg","A man standing on a lush green field under a kite.","A man and a child are standing on a lush green field under a kite.","add","obj","1"
"000000045728.jpg","A plate of cooked noodles, a fork, and a knife is displayed. ","A plate of cooked noodles, a fork, a knife, and a spoon are displayed.","add","obj","1"
"000000002157.jpg","A table topped with a cake covered in berries next to a plate of sandwiches.","A table topped with cupcakes, a cake covered in berries, and a plate of sandwiches.","add","obj","1"
"000000030504.jpg","A tall man is on snow skis on a pathway.","A tall man and a child are on snow skis on a pathway.","add","obj","1"
"000000226130.jpg","Two cooked hot dogs on a plate with parsley.","Two cooked hot dogs and chicken drumsticks are on a plate with parsley.","add","obj","1"
"000000532493.jpg","A woman surfer riding the waves in the ocean.","A woman surfer is riding the waves with sea turtles in the ocean.","add","obj","1"
"000000045550.jpg","A man with beard holding up a plate of food.","A man with a beard and a child are holding up a plate of food.","add","obj","1"
"000000395801.jpg","A woman sits on a bench as people walk down a sidewalk. ","A woman sits on a bench with an umbrella as people walk down a sidewalk.","add","obj","1"
"000000131431.jpg","An clock is encased in the wall of an older building.","A clock and a painting are encased in the wall of an older building.","add","obj","1"
"000000274687.jpg","A black road bicycle leaning against a bed.","A black road bicycle and a hula hoop are leaning against a bed.","add","obj","1"
"000000578093.jpg","a white yellow and blue train at an empty train station","A white yellow and blue train and a bus are at an empty train station.","add","obj","1"
"000000429011.jpg","Two toy vehicles and a police box are set up in a street scene.","Two toy vehicles, a police box, and a fire hydrant are set up in a street scene.","add","obj","1"
"000000025393.jpg","a couple of men in ties are outside","A couple of men in socks and ties are outside.","add","obj","1"
"000000062025.jpg","A bathroom with a sink, toilet and tub in front of a large mirror.","A bathroom with a sink, toilet, tub, and jacuzzi in front of a large mirror.","add","obj","1"
"000000017379.jpg","a flat screen TV embedded in a restroom mirror.","A flat screen TV embedded in a restroom mirror next to a toilet bowl.","add","obj","1"
"000000017379.jpg","A photo of a video game in the middle of a large mirror in a bathroom. ","A photo of a video game is in the middle of a large mirror in a bathroom with a plant.","add","obj","1"
"000000507235.jpg","Two bowls of food with vegetables on top.","Two bowls of food with vegetables and fruit on top.","add","obj","1"
"000000117645.jpg","A man on skis is going down a slope.","A man and a child on skis are going down a slope.","add","obj","1"
"000000336587.jpg","A broken telephone pole in a neighborhood with a stop sign attached to it.","A broken telephone pole in a neighborhood with a stop sign and a flower pot attached to it.","add","obj","1"
"000000559543.jpg","A young girl with a video game controller in her hand.","A young girl and a boy with video game controllers in their hands.","add","obj","1"
"000000021903.jpg","a man is feeding an elephant over a fence","A man is feeding an elephant and a kangaroo over a fence.","add","obj","1"
"000000177934.jpg","Two young women are washing two motorcycles with hoses..","A toddler and two young women are washing two motorcycles with hoses.","add","obj","1"
"000000109916.jpg","an image of two cakes on the stove","An image of two cakes and a saucepan on the stove.","add","obj","1"
"000000031050.jpg","A vase full of flowers is sitting on display.","A vase full of flowers and candles is sitting on display.","add","obj","1"
"000000579635.jpg","A man on a surfboard riding a wave ","A man on a surfboard riding a wave with a seagull flying overhead.","add","obj","0"
"000000338624.jpg","A man walking his dog down a sidewalk.","A man and a child walking their dog down a sidewalk.","add","obj","1"
"000000361238.jpg","The girl with glasses is eating a slice of pizza.","The girl with glasses is eating a slice of pizza and drinking a soda.","add","obj","1"
"000000410510.jpg","A young boy on a tennis court prepares to hit a tennis ball with his racquet.","A young boy and a girl on a tennis court prepare to hit tennis balls with their racquets.","add","obj","1"
"000000078843.jpg","A man kisses the top of a woman's head.","A man kisses the top of a woman's head with a flower in his hand.","add","obj","1"
"000000089556.jpg","A couple of silver cars parked around a fire hydrant.","A couple of silver cars parked around a fire hydrant and a bench.","add","obj","1"
"000000409475.jpg","A smiling pair of skiers with a huge snow covered mountain behind them.","A smiling pair of skiers and a snowboarder with a huge snow covered mountain behind them.","add","obj","1"
"000000481390.jpg","The basketball game is played by teams in white or blue uniforms.","A volleyball game is played by teams in white or blue uniforms.","add","obj","1"
"000000494427.jpg","A laptop computer sitting on top of a wooden table.","A laptop computer sitting on top of a wooden table next to a lamp.","add","obj","1"
"000000288042.jpg","A man walking with an umbrella near a railing above a river.","A man walking with an umbrella and a bike near a railing above a river.","add","obj","1"
"000000226903.jpg","A table with many different objects, including a plate of sandwiches. ","An umbrella is on a table with many different objects, including a plate of sandwiches.","add","obj","1"
"000000409475.jpg","A man and woman in ski gear standing in front of a mountain.","A man and woman in ski gear and snowboard standing in front of a mountain.","add","obj","1"
"000000278848.jpg","People are waiting for the bus with umbrellas. ","People are waiting for the bus with umbrellas and suitcases.","add","obj","1"
"000000273715.jpg","A couple of people with some skis in the snow.","A couple of people with some skis and hot chocolate in the snow.","add","obj","1"
"000000383621.jpg","A white plane flies in the cloudy sky.","A white plane and a hot air balloon fly in the cloudy sky.","add","obj","1"
"000000473118.jpg","A skateboarder is turning his board at the top of a ramp","A DJ and a skateboarder are turning their board at the top of a ramp.","add","obj","1"
"000000153529.jpg","People standing with their luggage on a train platform.","People and a child are standing with their luggage on a train platform.","add","obj","1"
"000000213224.jpg","A wooden table holding two vases of flowers.","A wooden table holding two vases of flowers and a picture frame.","add","obj","1"
"000000296284.jpg","A display case in a bakery filled with donuts.","A display case in a bakery filled with cupcakes and donuts.","add","obj","1"
"000000378454.jpg","A person jumps in the air and catches a Frisbee at the beach.","A person jumps in the air and catches a kite and a Frisbee at the beach.","add","obj","1"
"000000334767.jpg","There are a bunch of people cross-country skiing.","There are a bunch of people snowboarding and cross-country skiing.","add","obj","1"
"000000458790.jpg","A wet window blurs the image of an apartment building beyond.","A wet window blurs the image of a parking lot beyond the apartment building.","add","obj","0"
"000000163257.jpg","A man in a neon green shirt and black pants holding a pink umbrella.","A man and a child in neon green shirts and black pants are holding pink umbrellas.","add","obj","1"
"000000021503.jpg","Square pastries are assorted on a white platter.","Square pastries and cupcakes are assorted on a white platter.","add","obj","1"
"000000475779.jpg","An elephant is walking through the green shrubs.","An elephant and a gazelle are walking through the green shrubs.","add","obj","1"
"000000512836.jpg","A person with an umbrella and two dogs walking in the snow.","A person with an umbrella and two dogs walking with a sled in the snow.","add","obj","1"
"000000461405.jpg","There is a group of sheep grazing on the grass in the field. ","There is a group of sheep grazing on the grass and under an apple tree in the field.","add","obj","1"
"000000410456.jpg","The people are practicing riding their surfboards on the beach.","The people are practicing riding their surfboards and sitting under umbrellas on the beach.","add","obj","1"
"000000100624.jpg","A woman on her cellphone standing on the sidewalk in a city. ","A woman on her cellphone standing on the sidewalk with a bicycle in a city.","add","obj","1"
"000000086755.jpg","A couple of people riding a pair of skis down a snow covered slope.","A couple of people riding a pair of skis and a snowboard down a snow covered slope.","add","obj","1"
"000000308531.jpg","A large tall building with a clock on the top.","A large tall building with a clock on the top and a fountain in front of it.","add","obj","1"
"000000295231.jpg","the seven sheep are preparing to be sheered.","Seven sheep and a llama are preparing to be sheered.","add","obj","1"
"000000410428.jpg","A herd of sheep are grazing in a green field.","A herd of sheep and a horse are grazing in a green field.","add","obj","1"
"000000045728.jpg","A cake with cream topping on the plate.","A cake with cream topping and chocolate sprinkles on the plate.","add","obj","1"
"000000506656.jpg","A man standing in front of some Clysdale horses in front of some houses.","A man standing in front of some Clysdale horses and some tulips in front of some houses.","add","obj","1"
"000000520264.jpg","A man and a woman are posing for a picture in a kitchen.","A man, a woman, and a child are posing for a picture in a kitchen.","add","obj","1"
"000000086220.jpg","A tram and a car make their way through town.","A tram, bus, and car make their way through town.","add","obj","1"
"000000060347.jpg","A man sits on a bench underneath trees.","A man and a child sit on a bench underneath trees.","add","obj","1"
"000000322724.jpg","A man is standing on a snowy hills with his skiis.","A man is standing on a snowy hills with his skiis and a sled.","add","obj","1"
"000000199977.jpg","An airplane is letting off white smoke against a blue sky.","An airplane is letting off white smoke against a backdrop of clouds in the sky.","add","obj","1"
"000000174482.jpg","a bike sits parked next to a street ","A bike sits parked next to a garbage can on the street.","add","obj","1"
"000000238866.jpg","A couple dozen of glazed donuts on a wire rack.","A couple dozen of glazed donuts and bagels are on a wire rack.","add","obj","1"
"000000580294.jpg","A beautiful woman cooking food in a kitchen.","A beautiful woman cooking spices and food in a kitchen.","add","obj","1"
"000000580294.jpg","A woman makes eggs on the stove top.","A woman makes sausages and eggs on the stove top.","add","obj","1"
"000000034873.jpg","A kitchen island has a farmhouse sink on it.","A kitchen island has a farmhouse sink and a coffee maker on it.","add","obj","1"
"000000410428.jpg","Curious sheep on a large, well used pasture.","Curious sheep on a large, well used pasture with a pond.","add","obj","1"
"000000338428.jpg","A truck painted green with designs parked by other vehicles.","A truck painted green with designs parked by scooters and other vehicles.","add","obj","1"
"000000352684.jpg","Persons of different origin standing in a hall.","Persons of different origin standing in a hall with paintings on the walls.","add","obj","1"
"000000212166.jpg","A little boy making a mess with his dinner.","A little boy making a mess with his ice cream.","add","obj","1"
"000000521282.jpg","A close up of a clear vase with flowers.","A butterfly is perched on a clear vase with flowers in a close up shot.","add","obj","1"
"000000384350.jpg","A large jetliner sitting on top of an airport runway.","A large jetliner is sitting on top of an airport runway next to a control tower.","add","obj","1"
