"image","caption","negative_caption","negative_image","type","subtype","text_score_i0","text_score_i1","image_score_c0","image_score_c1","text_score","image_score","group_score"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7F89A4567AF0>","A man throwing a ball while smiling and on a field.","A man throwing a ball while a child is smiling on a field.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567C40>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7F89A4567D00>","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567B80>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x436 at 0x7F89A4567C10>","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567C70>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F89A4567D90>","A black plush toy sitting on the lid of a toilet.","A black plush toy and a toothbrush are sitting on the lid of a toilet.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567E20>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89A4567EB0>","A commercial airplane sits on a runway at an airport.","A commercial airplane and a helicopter sit on a runway at an airport.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567D30>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F89A45670D0>","A tall man is on snow skis on a pathway.","A tall man and a child are on snow skis on a pathway.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89A4567DC0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89A4567100>","A man with beard holding up a plate of food.","A man with a beard and a child are holding up a plate of food.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B34940>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x343 at 0x7F89C3B34DF0>","Two toy vehicles and a police box are set up in a street scene.","Two toy vehicles, a police box, and a fire hydrant are set up in a street scene.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B34C10>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B34A00>","A man on skis is going down a slope.","A man and a child on skis are going down a slope.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B34850>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7F89C3B34700>","A young girl with a video game controller in her hand.","A young girl and a boy with video game controllers in their hands.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B345B0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B34460>","Two young women are washing two motorcycles with hoses..","A toddler and two young women are washing two motorcycles with hoses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B341F0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7F89C3B34FD0>","A vase full of flowers is sitting on display.","A vase full of flowers and candles is sitting on display.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B2B730>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B2B5E0>","The basketball game is played by teams in white or blue uniforms.","A volleyball game is played by teams in white or blue uniforms.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B2B490>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=346x500 at 0x7F89C3B2B340>","A skateboarder is turning his board at the top of a ramp.","A dj and a skateboarder are turning their board at the top of a ramp.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B2B190>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=270x360 at 0x7F89C3B2B040>","A display case in a bakery filled with donuts.","A display case in a bakery filled with cupcakes and donuts.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B2BFD0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7F89C3B26520>","A person jumps in the air and catches a frisbee at the beach.","A person jumps in the air and catches a kite and a frisbee at the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B26E20>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B26BB0>","The people are practicing riding their surfboards on the beach.","The people are practicing riding their surfboards and sitting under umbrellas on the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B269D0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B26C40>","A man standing in front of some clysdale horses in front of some houses.","A man standing in front of some clysdale horses and some tulips in front of some houses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B26AF0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=424x640 at 0x7F89C3B269A0>","Persons of different origin standing in a hall.","Persons of different origin standing in a hall with paintings on the walls.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B267F0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B266A0>","Several cows and a horse are eating hay.","Several cows, a horse, and a rabbit are eating hay.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B26550>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7F89C3B26400>","People playing the wii together in  a room.","People playing board games together in a room.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B26D90>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B1DE50>","Two brown bears growling at each other while laying on a log.","Two brown bears growling at each other while standing near a waterfall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B1DC40>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7F89C3B1DA60>","A cow is standing on a street corner.","A cow and a dog are standing on a street corner.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B1DC70>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F89C3B1DB20>","A person walking while carrying a rainbow umbrella.","A person on a bicycle is carrying a rainbow umbrella while riding.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B1D9D0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B1D880>","A partial sliced open piece of bread with some hotdogs in the middle.","A partial sliced open piece of bread with some cheese and hotdogs in the middle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B1D6D0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7F89C3B1D580>","This is a plate holding a double decker sandwich.","This is a plate holding a double decker sandwich and a pickle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B1D430>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x316 at 0x7F89C3B1DE20>","A man holding a surfboard walking on a beach next to the ocean.","A man and a child holding surfboards are walking on a beach next to the ocean.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0AE80>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F89C3B0ACA0>","Two jets are flying against a bright blue sky.","Two jets are flying against a backdrop of fluffy white clouds.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0AA30>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x458 at 0x7F89C3B0A8E0>","Bear cubs play among the fallen tree limbs.","Bear cubs play among the fallen tree limbs near a pond.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0A730>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x640 at 0x7F89C3B0A5E0>","There are two slices of pizza on a paper plate.","There are two slices of pizza on a paper plate and a glass of soda.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0A490>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=509x640 at 0x7F89C3B0A340>","Two women are playing a wii game at a banquet hall.","Two women and a child are playing a wii game at a banquet hall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0A160>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F89C3B0A370>","A white car and a white bus parked parallel from one another.","A white car and a black truck parked parallel from one another, with a white bus nearby.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B0AFD0>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7F89C3B03EB0>","A woman standing on a sidewalk while using a cell phone.","A woman standing on a sidewalk while using an umbrella and a cell phone.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B03CD0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x423 at 0x7F89C3B03A60>","A plaster external wall with multiple old paper images attached.","A plaster external wall with multiple old paper images and paintings attached.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B03880>","add","obj","False","False","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7F89C3B03730>","A man holding a tennis racquet on a tennis court.","A man and a woman holding tennis racquets on a tennis court.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B035E0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F89C3B03430>","A young kid is holding a box of pizza.","A young kid and their grandparent are holding a box of pizza.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B032E0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F89C3B03190>","A man eats a hot dog while looking at the camera.","A man and a child eat a hot dog while looking at the camera.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B03400>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=418x640 at 0x7F89C3B03D90>","A man is on the court holding his racket.","A man and a woman are on the court holding their rackets.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7CE50>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F89C3B7CC40>","A slice of pizza with a swirl of sauce on top.","A slice of pizza with olives and a swirl of sauce on top.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7CA60>","add","obj","False","True","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x639 at 0x7F89C3B7CC70>","A woman leans forward while swinging a tennis racket.","A man and a woman lean forward while swinging tennis rackets.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7CB20>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=478x640 at 0x7F89C3B7C9D0>","A table with food and a glass of red wine.","A table with food, candles, and a glass of red wine.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7C880>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F89C3B7C6D0>","A man and a women standing next to each other.","A man, woman, and child are standing next to each other.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7C580>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F89C3B7C430>","A small bathroom has a sink and a storage rack over the toilet.","A small bathroom has a sink, a storage rack over the toilet, and a shower curtain.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7F89C3B7CE20>","add","obj","True","True","True","True","True","True","True"
