"image","caption","negative_caption","negative_image","type","subtype","text_score_i0","text_score_i1","image_score_c0","image_score_c1","text_score","image_score","group_score"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7EFED231DB50>","A man throwing a ball while smiling and on a field.","A man throwing a ball while a child is smiling on a field.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231D8B0>","add","obj","False","True","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7EFED231DB20>","A man skiing down a snowy hill alone.","A group of friends and a man are skiing down a snowy hill together.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231DBE0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x436 at 0x7EFED231DC70>","A man in white shirt and shorts playing a game of tennis.","A man and a woman in white shirts and shorts are playing a game of tennis.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231DD00>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7EFED231DF70>","A black plush toy sitting on the lid of a toilet.","A black plush toy and a toothbrush are sitting on the lid of a toilet.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231DFD0>","add","obj","True","False","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED231DF40>","A commercial airplane sits on a runway at an airport.","A commercial airplane and a helicopter sit on a runway at an airport.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231DEB0>","add","obj","True","False","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7EFED231DE50>","A tall man is on snow skis on a pathway.","A tall man and a child are on snow skis on a pathway.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED231DD30>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED231D1F0>","A man with beard holding up a plate of food.","A man with a beard and a child are holding up a plate of food.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70D3640>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x343 at 0x7EFED70D3E80>","Two toy vehicles and a police box are set up in a street scene.","Two toy vehicles, a police box, and a fire hydrant are set up in a street scene.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70D3C10>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70D3A30>","A man on skis is going down a slope.","A man and a child on skis are going down a slope.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70D3CA0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7EFED70D3AF0>","A young girl with a video game controller in her hand.","A young girl and a boy with video game controllers in their hands.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70D39A0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70D3850>","Two young women are washing two motorcycles with hoses..","A toddler and two young women are washing two motorcycles with hoses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70D3160>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7EFED70D3F40>","A vase full of flowers is sitting on display.","A vase full of flowers and candles is sitting on display.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70CBB80>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70CB9D0>","The basketball game is played by teams in white or blue uniforms.","A volleyball game is played by teams in white or blue uniforms.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70CB880>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=346x500 at 0x7EFED70CB730>","A skateboarder is turning his board at the top of a ramp.","A dj and a skateboarder are turning their board at the top of a ramp.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70CB5E0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=270x360 at 0x7EFED70CB430>","A display case in a bakery filled with donuts.","A display case in a bakery filled with cupcakes and donuts.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70CBE20>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=427x640 at 0x7EFED70C5EB0>","A person jumps in the air and catches a frisbee at the beach.","A person jumps in the air and catches a kite and a frisbee at the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C5D90>","add","obj","True","True","True","False","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70C5B20>","The people are practicing riding their surfboards on the beach.","The people are practicing riding their surfboards and sitting under umbrellas on the beach.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C5940>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70C57F0>","A man standing in front of some clysdale horses in front of some houses.","A man standing in front of some clysdale horses and some tulips in front of some houses.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C56A0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=424x640 at 0x7EFED70C54F0>","Persons of different origin standing in a hall.","Persons of different origin standing in a hall with paintings on the walls.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C53A0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70C5250>","Several cows and a horse are eating hay.","Several cows, a horse, and a rabbit are eating hay.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C5100>","add","obj","True","False","True","True","False","True","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EFED70C5310>","People playing the wii together in  a room.","People playing board games together in a room.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70C5F70>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70BDDC0>","Two brown bears growling at each other while laying on a log.","Two brown bears growling at each other while standing near a waterfall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70BDB50>","add","obj","False","True","True","False","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x426 at 0x7EFED70BD970>","A cow is standing on a street corner.","A cow and a dog are standing on a street corner.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70BD820>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7EFED70BD6D0>","A person walking while carrying a rainbow umbrella.","A person on a bicycle is carrying a rainbow umbrella while riding.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70BD580>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7EFED70BD3D0>","A partial sliced open piece of bread with some hotdogs in the middle.","A partial sliced open piece of bread with some cheese and hotdogs in the middle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70BD280>","add","obj","True","False","False","True","False","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7EFED70BD130>","This is a plate holding a double decker sandwich.","This is a plate holding a double decker sandwich and a pickle.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70BD3A0>","add","obj","True","True","False","True","True","False","False"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x316 at 0x7EFED70BDFA0>","A man holding a surfboard walking on a beach next to the ocean.","A man and a child holding surfboards are walking on a beach next to the ocean.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B0DF0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7EFED70B0B80>","Two jets are flying against a bright blue sky.","Two jets are flying against a backdrop of fluffy white clouds.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B09A0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x458 at 0x7EFED70B0850>","Bear cubs play among the fallen tree limbs.","Bear cubs play among the fallen tree limbs near a pond.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B0700>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x640 at 0x7EFED70B0550>","There are two slices of pizza on a paper plate.","There are two slices of pizza on a paper plate and a glass of soda.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B0400>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=509x640 at 0x7EFED70B02B0>","Two women are playing a wii game at a banquet hall.","Two women and a child are playing a wii game at a banquet hall.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B0520>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x428 at 0x7EFED70B0220>","A white car and a white bus parked parallel from one another.","A white car and a black truck parked parallel from one another, with a white bus nearby.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70B0EB0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7EFED70AAE20>","A woman standing on a sidewalk while using a cell phone.","A woman standing on a sidewalk while using an umbrella and a cell phone.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70AABB0>","add","obj","True","True","True","True","True","True","True"
"<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x423 at 0x7EFED70AA9D0>","A plaster external wall with multiple old paper images attached.","A plaster external wall with multiple old paper images and paintings attached.","<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7EFED70AAC40>","add","obj","True","False","False","True","False","False","False"
